IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
54.202.174.120,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,758,1.17
35.181.192.175,444,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,870,1.17
13.48.191.24,69,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,862,1.17
3.71.12.251,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,854,1.17
16.171.234.224,8443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,897,1.17
13.53.205.39,8443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,902,1.16
52.59.232.76,2053,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,853,1.16
54.188.203.77,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,908,1.16
18.195.219.208,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,850,1.16
13.51.48.84,2053,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,887,1.16
3.68.185.54,443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,838,1.16
18.157.181.244,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,863,1.16
16.171.107.219,2053,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,883,1.15
18.153.157.132,443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,819,1.15
204.110.221.203,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,763,1.14
13.51.237.59,8443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,851,1.14
13.38.145.118,8590,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,857,1.14
35.181.192.175,2087,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,818,1.14
18.158.156.249,2053,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,816,1.12
3.120.144.20,8585,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,837,1.12
34.223.118.242,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,940,1.11
35.157.229.137,2053,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,824,1.11
35.92.97.197,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,782,1.11
16.63.172.92,8443,TRUE,MXP,IT,Europe,Milan,16509,AMAZON-02,859,1.11
18.237.22.14,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,812,1.11
204.110.221.21,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,749,1.11
13.51.132.60,443,TRUE,OSL,NO,Europe,Oslo,16509,AMAZON-02,910,1.11
13.38.145.118,69,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,813,1.10
52.47.120.131,12534,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,883,1.09
35.180.207.222,55420,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,855,1.07
13.231.159.217,443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,304,1.07
13.41.162.153,2053,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,805,1.06
204.110.220.197,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,863,1.06
3.105.5.82,80,TRUE,SYD,AU,Oceania,Sydney,16509,AMAZON-02,822,1.05
18.130.141.22,443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,846,1.04
204.110.220.11,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,745,1.04
15.237.28.105,52834,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,824,1.02
52.40.59.31,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,769,1.01
13.48.191.24,334,TRUE,OSL,NO,Europe,Oslo,16509,AMAZON-02,939,1.01
3.121.2.140,1724,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,815,1.00
13.229.159.215,443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,347,0.97
16.170.172.75,8590,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,912,0.97
204.110.221.36,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,831,0.97
54.92.11.19,443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,241,0.96
18.159.225.127,7443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,821,0.94
3.10.202.232,8590,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,897,0.93
35.167.93.200,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,760,0.92
13.51.48.84,2096,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,859,0.90
13.56.207.185,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,683,0.89
3.121.2.140,1727,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,790,0.88
15.236.45.188,443,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,819,0.87
35.157.229.137,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,791,0.87
35.180.207.222,3000,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,834,0.87
13.51.88.79,443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,843,0.87
16.171.144.119,8080,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,869,0.87
18.130.18.90,443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,786,0.85
16.16.184.241,8443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,880,0.85
204.110.221.107,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,804,0.84
18.156.30.219,443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,845,0.83
204.110.221.222,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,839,0.81
35.165.253.141,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,770,0.81
13.60.7.25,443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,885,0.80
18.157.184.5,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,786,0.80
204.110.223.104,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,939,0.78
16.170.12.191,8443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,941,0.78
3.123.4.89,443,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,850,0.78
3.120.144.20,10713,TRUE,AMS,NL,Europe,Amsterdam,16509,AMAZON-02,829,0.78
3.66.115.225,443,TRUE,AMS,NL,Europe,Amsterdam,16509,AMAZON-02,886,0.77
35.180.190.13,443,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,950,0.77
52.192.70.199,443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,236,0.76
3.10.169.190,8443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,804,0.75
35.180.207.222,1020,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,861,0.75
204.110.220.89,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,722,0.75
13.42.101.233,8080,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,908,0.74
18.193.64.47,58949,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,824,0.73
52.58.97.123,8051,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,778,0.73
16.16.66.33,443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,880,0.72
13.43.218.87,443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,794,0.72
15.237.28.105,42585,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,852,0.72
15.237.36.251,8443,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,870,0.71
67.226.222.164,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,945,0.71
52.57.10.80,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,786,0.70
16.171.236.53,443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,853,0.70
67.226.222.120,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,953,0.70
204.110.220.11,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,905,0.70
35.180.207.222,18115,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,839,0.70
35.80.38.0,34237,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,769,0.70
35.180.207.222,30291,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,854,0.70
3.98.54.22,2053,TRUE,YUL,CA,North America,Montréal,16509,AMAZON-02,929,0.70
13.41.92.141,443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,816,0.69
44.240.32.177,16010,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,785,0.69
13.36.211.140,8443,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,803,0.68
204.110.221.189,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,738,0.67
13.40.4.246,8080,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,843,0.66
204.110.220.1,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,720,0.62
35.181.9.37,8443,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,791,0.61
204.110.221.44,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,775,0.60
18.169.194.180,8080,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,824,0.60
204.110.223.35,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,954,0.58
3.143.106.216,443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,985,0.58
204.110.223.174,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,972,0.58
50.18.133.190,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,710,0.58
35.182.7.190,443,TRUE,YUL,CA,North America,Montréal,16509,AMAZON-02,916,0.58
67.226.222.99,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,960,0.58
