IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
15.222.62.90,2095,0,false,ORD,North America,Chicago,253,0.00
15.156.199.197,8080,0,false,ORD,North America,Chicago,248,0.00
15.222.62.90,2087,0,false,ORD,North America,Chicago,291,0.00
15.223.66.150,2083,0,false,ORD,North America,Chicago,255,0.00
18.185.6.135,2087,0,false,ORD,North America,Chicago,184,0.00
15.223.65.10,2095,0,false,ORD,North America,Chicago,249,0.00
15.223.2.143,2053,0,false,ORD,North America,Chicago,251,0.00
15.223.66.150,2096,0,false,ORD,North America,Chicago,249,0.00
15.223.2.76,2082,0,false,ORD,North America,Chicago,255,0.00
15.222.61.74,8880,0,false,ORD,North America,Chicago,339,0.00
15.222.4.96,2096,0,false,ORD,North America,Chicago,254,0.00
15.223.65.10,2083,0,false,ORD,North America,Chicago,248,0.00
15.222.61.74,8080,0,false,ORD,North America,Chicago,251,0.00
15.223.66.150,2082,0,false,ORD,North America,Chicago,251,0.00
15.222.62.175,2053,0,false,ORD,North America,Chicago,246,0.00
18.185.6.135,80,0,false,ORD,North America,Chicago,181,0.00
15.222.254.155,2053,0,false,ORD,North America,Chicago,318,0.00
13.40.105.172,443,0,false,ORD,North America,Chicago,166,0.00
13.40.105.172,2052,0,false,ORD,North America,Chicago,168,0.00
15.223.66.150,2053,0,false,ORD,North America,Chicago,319,0.00
13.40.105.172,2086,0,false,ORD,North America,Chicago,166,0.00
15.222.254.155,2087,0,false,ORD,North America,Chicago,258,0.00
13.40.105.172,2087,0,false,ORD,North America,Chicago,166,0.00
15.222.62.90,80,0,false,ORD,North America,Chicago,251,0.00
18.191.81.253,8443,0,false,ORD,North America,Chicago,252,0.00
13.40.105.172,2096,0,false,ORD,North America,Chicago,168,0.00
18.185.6.135,8080,0,false,ORD,North America,Chicago,181,0.00
3.99.169.181,2086,0,false,ORD,North America,Chicago,263,0.00
15.222.61.74,80,0,false,ORD,North America,Chicago,251,0.00
15.223.115.169,2053,0,false,ORD,North America,Chicago,250,0.00
18.185.6.135,2095,0,false,ORD,North America,Chicago,183,0.00
15.222.4.96,2086,0,false,ORD,North America,Chicago,247,0.00
15.223.66.150,8080,0,false,ORD,North America,Chicago,252,0.00
18.185.6.135,443,0,false,ORD,North America,Chicago,181,0.00
3.99.169.181,2095,0,false,ORD,North America,Chicago,297,0.00
15.222.4.96,2053,0,false,ORD,North America,Chicago,248,0.00
13.37.234.4,80,0,false,ORD,North America,Chicago,171,0.00
15.157.62.93,443,0,false,ORD,North America,Chicago,251,0.00
3.96.142.58,2082,0,false,ORD,North America,Chicago,302,0.00
15.223.2.76,2052,0,false,ORD,North America,Chicago,303,0.00
13.40.105.172,8080,0,false,ORD,North America,Chicago,168,0.00
15.223.65.10,2086,0,false,ORD,North America,Chicago,248,0.00
18.185.6.135,8880,0,false,ORD,North America,Chicago,182,0.00
15.223.2.76,2087,0,false,ORD,North America,Chicago,252,0.00
18.185.6.135,2053,0,false,ORD,North America,Chicago,181,0.00
13.40.105.172,2053,0,false,ORD,North America,Chicago,168,0.00
13.40.105.172,2095,0,false,ORD,North America,Chicago,168,0.00
15.222.61.74,2086,0,false,ORD,North America,Chicago,250,0.00
18.185.6.135,2083,0,false,ORD,North America,Chicago,183,0.00
15.156.199.197,8880,0,false,ORD,North America,Chicago,322,0.00
15.222.61.214,2052,0,false,ORD,North America,Chicago,260,0.00
3.129.184.210,80,0,false,ORD,North America,Chicago,283,0.00
15.222.62.138,80,0,false,ORD,North America,Chicago,268,0.00
15.222.62.175,443,0,false,ORD,North America,Chicago,244,0.00
3.99.169.181,80,0,false,ORD,North America,Chicago,254,0.00
15.223.66.150,80,0,false,ORD,North America,Chicago,270,0.00
13.58.153.189,80,0,false,ORD,North America,Chicago,292,0.00
18.185.6.135,2052,0,false,ORD,North America,Chicago,182,0.00
15.222.62.175,2052,0,false,ORD,North America,Chicago,312,0.00
18.134.14.36,2086,0,false,ORD,North America,Chicago,168,0.00
18.191.81.253,2087,0,false,ORD,North America,Chicago,250,0.00
13.51.47.101,8443,0,false,ORD,North America,Chicago,197,0.00
15.156.24.206,80,0,false,ORD,North America,Chicago,251,0.00
15.222.62.175,2086,0,false,ORD,North America,Chicago,247,0.00
18.134.14.36,2053,0,false,ORD,North America,Chicago,166,0.00
15.222.45.130,2083,0,false,ORD,North America,Chicago,260,0.00
3.99.169.181,443,0,false,ORD,North America,Chicago,250,0.00
3.99.169.181,2096,0,false,ORD,North America,Chicago,289,0.00
15.222.61.74,2083,0,false,ORD,North America,Chicago,298,0.00
18.185.6.135,8443,0,false,ORD,North America,Chicago,184,0.00
15.222.62.90,2083,0,false,ORD,North America,Chicago,286,0.00
15.223.65.10,80,0,false,ORD,North America,Chicago,259,0.00
15.223.105.115,80,0,false,ORD,North America,Chicago,248,0.00
18.185.6.135,2086,0,false,ORD,North America,Chicago,182,0.00
15.223.115.169,80,0,false,ORD,North America,Chicago,264,0.00
18.134.14.36,8443,0,false,ORD,North America,Chicago,170,0.00
18.156.117.187,80,0,false,ORD,North America,Chicago,183,0.00
